Time   ID     DLC Data                    Comment
00.000 199      6 FF F5 F3 7E FF 8F       
00.000 19A      6 FF F5 F3 7E FF 8F       
00.000 19F      6 FF F5 00 80 00 80       
00.000 200      8 00 00 8C 00 00 00 00 FF 
00.000 257      8 1C 08 FF FF FF FF FF FF 
00.000 0A5      8 DC 01 B3 37 7B 00 00 71 
00.000 1C4      7 00 00 00 00 07 20 32    
00.000 1A1      5 DA C3 00 00 88          
00.000 435      4 00 F0 00 C0             
00.000 302      7 FF F7 FF 7F F8 FF FF    
00.000 0D9      8 5A F3 00 10 00 E0 7F C0 
00.000 3F9      8 FE F6 80 6C 3A 00 13 6C 
00.000 199      6 FF F7 F3 7E FF 8F       
00.000 19A      6 FF F7 F3 7E FF 8F       
00.000 2C4      8 00 00 FF 64 64 64 01 F0 
00.000 19F      6 FF F7 00 80 00 80       
00.000 3FB      7 C3 07 01 10 01 03 FF    
00.000 0A5      8 66 03 B3 37 7B 00 00 71 
00.000 1C4      7 00 00 00 00 09 20 42    
00.000 1A1      5 2E C4 00 00 88          
00.000 3B9      3 4E F6 E0                
00.000 12F      8 93 24 86 1C F1 05 30 02 
00.000 28E      2 FF FF                   
00.000 1E4      8 89 FB 29 29 11 11 FF FF 
00.000 2E5      8 F5 FB 11 11 11 11 11 11 
00.000 3B7      3 4E F6 E0                
00.000 199      6 FF F9 F3 7E FF 8F       
00.000 19A      6 FF F9 F3 7E FF 8F       
00.000 0A5      8 B5 05 B3 37 7B 00 00 71 
00.000 0F3      8 B0 0A 00 C0 F0 C0 FF FF 
00.000 1C4      7 00 00 00 00 0B 20 52    
00.000 1A1      5 B3 C5 00 00 88          
00.000 1C5      7 00 00 00 00 0B 20 52    
00.000 561      8 40 61 00 00 00 00 00 00 
00.000 257      8 41 09 FF FF FF FF FF FF 
00.000 1AE      2 FB FF                   
00.000 393      4 02 FE 02 FE             
00.000 0D9      8 33 F7 00 10 00 E0 7F C0 
00.000 199      6 FF FB F3 7E FF 8F       
00.000 19A      6 FF FB F3 7E FF 8F       
00.000 19F      6 FF FB 00 80 00 80       
00.000 1A6      8 00 00 00 00 00 00 C0 F3 
00.000 22A      3 00 C0 F0                
00.000 0A5      8 0F 07 B3 37 7B 00 00 71 
00.000 0F3      8 63 0C 00 C0 F0 C0 FF FF 
00.000 0D9      8 6F F8 00 10 00 E0 7F C0 
00.000 380      7 56 35 37 34 39 37 31    
00.000 3FB      7 C3 09 01 10 01 04 FF    
00.000 2C5      7 72 C2 00 30 06 20 0A    
00.000 0D9      8 32 F9 00 10 00 E0 7F C0 
00.000 302      7 FF FD FF 7F F8 FF FF    
00.000 199      6 FF FD F3 7E FF 8F       
00.000 19A      6 FF FD F3 7E FF 8F       
00.000 289      8 FF FF FF FF FF 00 EC 01 
00.000 3A5      5 E1 D5 FF FF FF          
00.000 0A5      8 0E 09 B3 37 7B 00 00 71 
00.000 1C4      7 00 00 00 00 0F 20 72    
00.000 1C5      7 00 00 00 00 0F 20 72    
00.000 3B3      7 1F 00 FF 7F 00 F3 F8    
00.000 302      7 FF F0 FF 7F F8 FF FF    
00.000 0D9      8 88 FB 00 10 00 E0 7F C0 
00.000 26E      8 00 00 00 50 FF FF FF FF 
00.000 314      3 11 02 FF                
00.000 199      6 FF F0 F3 7E FF 8F       
00.000 19A      6 FF F0 F3 7E FF 8F       
00.000 2F4      2 00 00                   
00.000 257      8 A6 0A FF FF FF FF FF FF 
00.000 0A5      8 B4 0B B3 37 7B 00 00 71 
00.000 1C4      7 00 00 00 00 11 20 82    
00.000 1A1      5 FC C8 00 00 88          
00.000 5E1      8 0C 02 00 32 00 03 FF FF 
00.000 302      7 FF F2 FF 7F F8 FF FF    
00.000 0D9      8 5B FD 00 10 00 E0 7F C0 
00.000 199      6 FF F2 F3 7E FF 8F       
00.000 19A      6 FF F2 F3 7E FF 8F       
00.000 2C4      8 00 00 FF 64 64 64 01 F0 
00.000 19F      6 FF F2 00 80 00 80       
00.000 438      4 00 F8 00 00             
00.000 304      6 F1 FF 92 2E FF FF       
00.000 3C5      6 0C 03 00 ED F0 FF       
00.000 1A1      5 61 C9 00 00 88          
00.000 1C4      7 00 00 00 00 13 20 92    
00.000 0D9      8 BC FE 00 10 00 E0 7F C0 
00.000 12F      8 CE 25 86 1C F1 05 30 02 
00.000 28E      2 FF FF                   
00.000 2BB      5 D4 F2 00 00 F2          
00.000 2CA      2 62 62                   
00.000 163      8 FF FF 00 85 FF FF FF FF 
00.000 199      6 FF F4 F3 7E FF 8F       
00.000 19A      6 FF F4 F3 7E FF 8F       
00.000 19F      6 FF F4 00 80 00 80       
00.000 0A5      8 81 00 B3 37 7B 00 00 71 
00.000 0F3      8 D8 00 00 C0 F0 C0 FF FF 
00.000 1C4      7 00 00 00 00 15 20 A2    
00.000 1A1      5 DB CA 00 00 88          
00.000 0EC      8 FF FF FF FF 00 0F FC FF 
00.000 257      8 FB 0B FF FF FF FF FF FF 
00.000 1AE      2 FB FF                   
00.000 302      7 FF F6 FF 7F F8 FF FF    
00.000 314      3 11 02 FF                
00.000 0D9      8 07 F2 00 10 00 E0 7F C0 
00.000 199      6 FF F6 F3 7E FF 8F       
00.000 19A      6 FF F6 F3 7E FF 8F       
00.000 19F      6 FF F6 00 80 00 80       
00.000 1A6      8 00 00 00 00 00 00 50 F5 
00.000 0A5      8 3B 02 B3 37 7B 00 00 71 
00.000 173      8 E4 FE 00 0E E0 00 0E 00 
00.000 1C4      7 B9 05 F1 FF 29 11 11    
00.000 1FD      8 9F 05 F1 FF 29 11 11 7F 
00.000 435      4 00 F0 00 C0             
00.000 2C5      7 34 C3 00 30 06 20 0A    
00.000 3FB      7 C3 0D 01 10 01 06 FF    
00.000 302      7 FF F8 FF 7F F8 FF FF    
00.000 0D9      8 D4 F4 00 10 00 E0 7F C0 
00.000 199      6 FF F8 F3 7E FF 8F       
00.000 1E1      6 39 FD 04 FF FF FF       
00.000 289      8 FF FF FF FF FF 00 EC 01 
00.000 0A5      8 E8 04 B3 37 7B 00 00 71 
00.000 1A1      5 B2 CC 00 00 88          
00.000 1C4      7 00 00 00 00 19 20 C2    
00.000 3B9      3 4E F6 E0                
00.000 3B7      3 4E F6 E0                
00.000 302      7 FF FA FF 7F F8 FF FF    
00.000 0D9      8 6E F6 00 10 00 E0 7F C0 
00.000 199      6 FF FA F3 7E FF 8F       
00.000 19A      6 FF FA F3 7E FF 8F       
00.000 19F      6 FF FA 00 80 00 80       
00.000 257      8 75 0C FF FF FF FF FF FF 
00.000 0A5      8 52 06 B3 37 7B 00 00 71 
00.000 1C4      7 00 00 00 00 1B 20 D2    
00.000 1A1      5 2F CD 00 00 88          
00.000 1C5      7 00 00 00 00 1B 20 D2    
00.000 0F3      8 B1 04 00 C0 F0 C0 FF FF 
00.000 544      8 00 00 00 00 00 00 00 44 
00.000 543      8 00 00 00 00 00 00 00 43 
00.000 302      7 FF FC FF 7F F8 FF FF    
00.000 0D9      8 6F F8 00 10 00 E0 7F C0 
00.000 199      6 FF FC F3 7E FF 8F       
00.000 19F      6 FF FC 00 80 00 80       
00.000 19A      6 FF FC F3 7E FF 8F       
00.000 22A      3 00 C0 F0                
00.000 232      3 00 C0 F0                
00.000 0A5      8 00 00 00 00 1D 20 E2 71 
00.000 0F3      8 EC 05 00 C0 F0 C0 FF FF 
00.000 0D9      8 32 F9 00 10 00 E0 7F C0 
00.000 349      5 58 11 A4 10 00          
00.000 12F      8 29 26 86 1C F1 05 30 02 
00.000 28E      2 FF FF                   
00.000 2BB      5 49 F3 00 00 F2          
00.000 163      8 FF FF 00 85 FF FF FF FF 
00.000 0D9      8 D5 FA 3F FF FF FF 7F C0 
00.000 2EA      8 FF FF FF FF FF 00 3F 26 
00.000 2E6      8 00 24 64 32 1B 00 1F 26 
00.000 0A5      8 E9 0A B3 37 7B 00 00 71 
00.000 0F3      8 EC 05 00 C0 F0 C0 FF FF 
00.000 1A1      5 60 C0 00 00 88          
00.000 1C4      7 00 00 00 00 1F 20 02    
00.000 3B3      7 1F 00 FF 7F 00 F3 F8    
00.000 257      8 28 0D FF FF FF FF FF FF 
00.000 330      8 3C 10 02 13 1E 07 DC 0E 
00.000 1AE      2 FB FF                   
00.000 302      7 FF F1 FF 7F F8 FF FF    
00.000 199      6 FF F1 F3 7E FF 8F       
00.000 19A      6 FF F1 F3 7E FF 8F       
00.000 1A6      8 00 00 00 00 00 00 E0 F6 
00.000 0A5      8 3A 0C B3 37 7B 00 00 71 
00.000 173      8 6A F9 00 0E E0 00 0E 00 
00.000 1C4      7 00 00 00 00 21 20 12    
00.000 1A1      5 5E 06 F1 FF 29          
00.000 1E0      8 BE 06 F1 11 29 11 11 F1 
00.000 3FB      7 C3 11 01 10 01 08 FF    
00.000 2C5      7 FB C4 00 30 06 20 0A    
00.000 302      7 FF F3 FF 7F F8 FF FF    
00.000 0D9      8 BC FE 00 10 00 E0 7F C0 
00.000 199      6 FF F3 F3 7E FF 8F       
00.000 19A      6 FF F3 F3 7E FF 8F       
00.000 289      8 FF FF FF FF FF 00 EC 01 
00.000 0A5      8 80 0E B3 37 7B 00 00 71 
00.000 1C4      7 00 00 00 00 23 20 22    
00.000 1A1      5 47 C2 00 00 88          
00.000 0F3      8 0A 08 00 C0 F0 C0 FF FF 
00.000 302      7 FF F5 FF 7F F8 FF FF    
00.000 0D9      8 E0 F1 00 10 00 E0 7F C0 
00.000 199      6 FF F5 F3 7E FF 8F       
00.000 19A      6 FF F5 F3 7E FF 8F       
00.000 19F      6 FF F5 00 80 00 80       
00.000 257      8 CF 0E FF FF FF FF FF FF 
00.000 0A5      8 DC 01 B3 37 7B 00 00 71 
00.000 1C4      7 00 00 00 00 25 20 32    
00.000 1C5      7 00 00 00 00 25 20 32    
00.000 1A1      5 DA C3 00 00 88          
00.000 0D9      8 07 F2 00 10 00 E0 7F C0 
00.000 1A0      8 00 80 00 00 00 00 F0 FF 
00.000 0EC      8 FF FF FF FF 00 0F FC FF 
00.000 56D      8 00 00 00 00 00 00 00 6D 
00.000 302      7 FF F7 FF 7F F8 FF FF    
00.000 0D9      8 5A F3 00 10 00 E0 7F C0 
00.000 314      3 11 02 FF                
00.000 199      6 FF F7 D2 7E FF AF       
00.000 2C4      8 00 00 FF 64 64 64 01 F0 
00.000 304      6 F2 FF 80 2E FF FF       
00.000 3FB      7 C3 13 01 10 01 09 FF    
00.000 2C5      7 98 C5 00 20 06 20 0A    
00.000 1C4      7 00 00 00 00 27 20 42    
00.000 1BA      8 FF FF FC FF FF FF FF FF 
00.000 12F      8 74 27 86 1C F1 05 30 02 
00.000 130      5 00 F0 FC FF FF          
00.000 302      7 FF F9 FF 7F F8 FF FF    
00.000 163      8 FF FF 00 85 FF FF FF FF 
00.000 0D9      8 89 F5 00 10 00 E0 7F C0 
00.000 199      6 FF F9 B4 7E FF AF       
00.000 301      7 FF FF FF 7F FF 7F 8F    
00.000 0A5      8 CA 05 B4 47 7B 00 00 71 
00.000 0F3      8 B0 0A 00 C0 F0 C0 FF FF 
00.000 556      8 00 00 00 00 00 00 00 56 
00.000 1C4      7 00 00 00 00 29 20 52    
00.000 257      8 CE 00 FF FF FF FF FF FF 
